"subsections (a) through (d) of section 1311 of such title","usc/38/1311/a..d"
"subsections (a) through (d) of section 1311 of such title","usc/38/1311/a..d"
"16 U.S.C. 1a-5(c)","usc/16/1a-5/c"
"subsections (d) through (f)","usc/18/925/d..f"
"paragraphs (2) through (22)","usc/39/5402/a/2..22"
"subsections (b) through (f)","usc/39/5402/b..f"
"subsections (g) through (s)","usc/39/5402/g..s"
"subsections (c) through (o)","usc/39/5402/c..o"
"15 U.S.C. 278g-5","usc/15/278g-5"
"subsections (l) through (t)","usc/49/47107/l..t"
"subsections (k) through (s)","usc/49/47107/k..s"
"subsections (a) through (o)","usc/49/47107/a..o"
"paragraphs (1) through (3) of subsection (p)","usc/49/47107/p/1..3"
"subsections (a) through (d) of section 1311 of such title","usc/38/1311/a..d"
"paragraphs (1) through (6)","usc/44/3550/d/1..6"
"subsections (c) through (f)","usc/3/411/c..f"
"subsections (d) through (g)","usc/3/411/d..g"
"subsections (a) through (d)","usc/3/411/a..d"
"sections 1475–1477","usc/10/1475..1477"
"subparagraphs (A) through (D)","usc/5/553/f/1/A..D"
"clauses (i) through (iii) of section 804(2)(A)","usc/5/804//2/A/i..iii"
"subsections (e) through (g)","usc/10/920/e..g"
"subsections (f) through (h)","usc/10/920/f..h"
"paragraphs (8) through (10) of subsection (b) of section 5723 of this title","usc/38/5723/b/8..10"
"8 U.S.C. 1439, 1440, 1440–1","usc/8/1439, 1440, 1440-1"
"subparagraphs (A) through (K)","usc/18/921/a/36/A..K"
"paragraphs (2), (3), (4), (5), and (6)","usc/18/207/e/2..6"
"paragraphs (7), (8), and (9)","usc/18/207/e/7..9"
"paragraphs (5), (6), and (7)","usc/18/207/e/5..7"
"paragraphs (2), (3), (4), and (5)","usc/18/207/e/2..5"
"sections 8131 through 8137 of title 38, United States Code","usc/38/8131..8137"
"sections 5901 through 5902 of title 5, United States Code","usc/5/5901..5902"
"sections 7901 through 7904 of title 5, United States Code","usc/5/7901..7904"
"sections 7251 through 7298 of title 38, United States Code","usc/38/7251..7298"
"sections 8131 through 8137 of title 38, United States Code","usc/38/8131..8137"
"sections 5901 through 5902 of title 5, United States Code","usc/5/5901..5902"
"sections 7901 through 7904 of title 5, United States Code","usc/5/7901..7904"
"sections 7251 through 7298 of title 38, United States Code","usc/38/7251..7298"
"sections 8131 through 8137 of title 38, United States Code","usc/38/8131..8137"
"sections 5901 through 5902 of title 5, United States Code","usc/5/5901..5902"
"sections 7901 through 7904 of title 5, United States Code","usc/5/7901..7904"
"sections 7251 through 7298 of title 38, United States Code","usc/38/7251..7298"
"sections 3101 through 3106 of title 44, United States Code","usc/44/3101..3106"
"15 U.S.C. 8201–6","usc/15/8201..6"
"paragraphs (b) through (d) of section 229.140 of title 49, Code of Federal Regulations","usc/49/229.140//b..d"
"paragraphs (7) through (17)","usc/10/1079/a/7..17"
"paragraphs (6) through (16)","usc/10/1079/a/6..16"
"subsections (j) through (q)","usc/10/1079/j..q"
"subsections (i) through (p)","usc/10/1079/i..p"
" 15 U.S.C. 278c–278e","usc/15/278c..278e"
" 5 U.S.C. 5901–5902","usc/5/5901..5902"
